,Team,Games,Best P.,Kills,Knocks,Dmg dealt,Dmg taken,Dmg diff,Ring dmg,Rez.,Rspn.,K/D,KA/D,Surv. time,Competition
0,shadow3690,30,1st,83,94,45215,50143,-4928,3875,15,13,0.86,1.91,24h 16m 46s,Y4-Split2 ALGS-Playoffs
1,Pioneers,24,2nd,58,80,41593,40941,652,3425,13,4,0.76,1.54,21h 50m 49s,Y4-Split2 ALGS-Playoffs
2,OLIMPO,24,2nd,46,59,28491,40067,-11576,3638,7,6,0.59,1.24,18h 51m 12s,Y4-Split2 ALGS-Playoffs
3,FNATIC,40,1st,138,168,86577,76111,10466,8659,26,8,1.16,2.56,33h 58m 21s,Y4-Split2 ALGS-Playoffs
4,NRG,34,1st,89,121,67034,63147,3887,2989,14,2,0.91,1.49,31h 10m 23s,Y4-Split2 ALGS-Playoffs
5,SWQ,30,1st,56,71,40381,41358,-977,4560,5,5,0.63,1.42,21h 42m 39s,Y4-Split2 ALGS-Playoffs
6,MKERS,40,1st,84,109,53898,58355,-4457,5223,16,7,0.69,1.53,32h 37m 6s,Y4-Split2 ALGS-Playoffs
7,GoNextEsports,30,1st,84,101,42170,39990,2180,2438,11,1,0.99,2.2,24h 3m 54s,Y4-Split2 ALGS-Playoffs
8,REJECTWINNITYJP,30,1st,48,59,36009,44578,-8569,1699,12,5,0.53,1.09,24h 36m 16s,Y4-Split2 ALGS-Playoffs
9,ENTERFORCE.36,34,1st,102,117,53828,61494,-7666,4083,20,6,0.97,2.16,29h 14m 26s,Y4-Split2 ALGS-Playoffs
10,HAO,29,2nd,75,97,39718,37790,1928,1440,10,2,0.87,1.87,22h 39m 14s,Y4-Split2 ALGS-Playoffs
11,DreamFire,40,1st,106,126,68069,63462,4607,5166,17,3,0.91,1.91,33h 6m 52s,Y4-Split2 ALGS-Playoffs
12,FURIA,34,1st,117,149,68786,66571,2215,3609,22,11,1.13,2.46,31h 50m 54s,Y4-Split2 ALGS-Playoffs
13,LG,30,1st,100,120,57117,60961,-3844,3108,20,5,1.16,2.05,25h 17m 20s,Y4-Split2 ALGS-Playoffs
14,NORTHEPTION,30,1st,56,84,42406,43352,-946,2544,13,7,0.61,1.12,24h 49m 11s,Y4-Split2 ALGS-Playoffs
15,GaiminGladiators,34,1st,148,178,74139,80891,-6752,1987,41,4,1.68,3.35,32h 39m 56s,Y4-Split2 ALGS-Playoffs
16,FAKIDS,24,4th,65,84,35247,47438,-12191,7407,19,9,0.8,1.63,19h 24m 11s,Y4-Split2 ALGS-Playoffs
17,SSG,34,1st,125,154,71562,48996,22566,4655,16,2,1.4,3.26,29h 7m 32s,Y4-Split2 ALGS-Playoffs
18,NatusVincere,30,1st,97,121,58999,59134,-135,2541,24,3,1.29,2.65,25h 7m 33s,Y4-Split2 ALGS-Playoffs
19,Complexity,40,1st,145,175,86727,79059,7668,3548,23,7,1.2,2.5,34h 32m 24s,Y4-Split2 ALGS-Playoffs
20,GUILD,40,1st,123,146,77971,71937,6034,5188,25,27,0.91,1.92,35h 40m 8s,Y4-Split2 ALGS-Playoffs
