,Unnamed: 0,Weapon,Kills,Damage,Shots,Hits,Accuracy,Cumulative play time,Player,Competition
0,,Mozambique (Akimbo),1161,380335,-,25462,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,302,303375,122766,21411,17.44%,77h 48m 13s,Any player,Y4-Split2 ALGS-Playoffs
2,,Hemlok Burst AR,280,300414,118595,18110,15.27%,81h 9m 49s,Any player,Y4-Split2 ALGS-Playoffs
3,,HAVOC Rifle,258,126728,43592,7861,18.03%,31h 48m 17s,Any player,Y4-Split2 ALGS-Playoffs
4,,Mastiff Shotgun,213,77162,3006,-,-,13h 49m 2s,Any player,Y4-Split2 ALGS-Playoffs
5,,Mozambique Shotgun,125,37268,33733,-,-,63h 20m 56s,Any player,Y4-Split2 ALGS-Playoffs
6,,VK-47 Flatline,110,74321,34551,4677,13.54%,24h 46m 37s,Any player,Y4-Split2 ALGS-Playoffs
7,,G7 Scout,109,140793,37411,4697,12.56%,35h 29m 6s,Any player,Y4-Split2 ALGS-Playoffs
8,,EVA-8 Auto,73,22411,1676,-,-,3h 56m 21s,Any player,Y4-Split2 ALGS-Playoffs
9,,Triple Take,55,95735,9513,-,-,24h 7m 43s,Any player,Y4-Split2 ALGS-Playoffs
10,,Frag Grenade,52,40835,-,831,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
11,,Arc Star,48,32935,-,1019,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
12,,Volt SMG,48,24230,9776,1799,18.4%,7h 32m 10s,Any player,Y4-Split2 ALGS-Playoffs
13,,Devotion LMG,43,14685,-,996,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
14,,30-30 Repeater,42,76311,12022,1887,15.7%,21h 59m 55s,Any player,Y4-Split2 ALGS-Playoffs
15,,R-301 Carbine,37,28171,16270,2478,15.23%,8h 40m 51s,Any player,Y4-Split2 ALGS-Playoffs
16,,Prowler Burst PDW,25,10024,5813,724,12.45%,3h 28m 1s,Any player,Y4-Split2 ALGS-Playoffs
17,,R-99 SMG,25,7149,-,652,-,0h 0m 0s,Any player,Y4-Split2 ALGS-Playoffs
18,,Peacekeeper,23,12340,401,-,-,3h 41m 46s,Any player,Y4-Split2 ALGS-Playoffs
19,,Bocek Compound Bow,22,19063,-,337,-,1h 49m 31s,Any player,Y4-Split2 ALGS-Playoffs
